Region,Gender,SubscriptionType,InternetUsageType,CustomerSupportCalls,ContractType,MonthlyCharges,TotalCharges,CallMinutesPerMonth,InternetGBPerMonth,NumberOfSMSPerMonth,TenureMonths,Age
North,Female,Prepaid,Light,Medium,Monthly,39.31,710.62,533.56,25.1,105.0,1,40
North,Male,Postpaid,Moderate,Medium,Monthly,31.38,930.88,471.41,29.65,50.0,5,72
East,Female,Prepaid,Light,Medium,Monthly,38.14,1186.44,516.71,27.0,105.0,25,78
East,Female,Prepaid,Heavy,High,Monthly,45.91,707.0,476.67,40.18,94.0,55,65
East,Male,Postpaid,Light,Low,Yearly,24.1,927.1,547.96,31.33,125.0,1,73
West,Female,Prepaid,Light,High,Monthly,70.29,818.23,478.66,24.93,122.0,52,40
North-East,Other,Prepaid,Light,High,Monthly,49.14,1152.64,459.32,26.3,37.0,46,74
North,Female,Postpaid,Light,Medium,Monthly,40.58,841.44,364.08,26.89,80.0,51,70
West,Male,Postpaid,Heavy,High,Monthly,36.02,1682.82,511.22,23.49,147.0,68,32
East,Male,Postpaid,Moderate,Medium,Yearly,63.91,1332.73,397.98,24.39,180.0,63,66
North,Female,Postpaid,Light,Low,Quarterly,57.65,936.27,420.19,23.8,121.0,18,23
West,Other,Postpaid,Moderate,Low,Monthly,41.84,987.1,601.2,17.61,140.0,9,50
North-East,Female,Postpaid,Light,High,Yearly,54.64,1391.47,490.93,45.51,103.0,21,44
West,Female,Postpaid,Heavy,High,Quarterly,47.88,1319.84,562.48,41.57,64.0,24,28
North-East,Female,Prepaid,Light,High,Monthly,50.92,1066.2,554.63,37.06,123.0,31,76
East,Female,Prepaid,Heavy,Low,Yearly,68.98,343.17,690.63,53.46,127.0,24,39
North-East,Other,Postpaid,Light,Low,Quarterly,53.88,1438.32,491.24,31.73,159.0,10,43
North,Female,Postpaid,Heavy,Medium,Quarterly,59.02,960.93,582.09,44.85,149.0,13,60
East,Other,Postpaid,Light,High,Quarterly,58.94,1110.93,549.64,12.14,124.0,25,37
North,Female,Postpaid,Moderate,Medium,Quarterly,64.23,922.69,475.92,37.68,121.0,42,78
Central,Other,Postpaid,Heavy,Medium,Quarterly,33.41,1052.22,373.49,17.19,61.0,23,75
South,Female,Prepaid,Light,Low,Monthly,64.22,1437.68,554.01,19.8,111.0,60,63
North-East,Male,Prepaid,Heavy,Low,Yearly,52.35,1041.52,504.71,33.3,177.0,36,58
South,Female,Postpaid,Moderate,Low,Monthly,54.01,891.29,633.0,42.8,116.0,14,76
South,Female,Prepaid,Heavy,Medium,Yearly,74.6,831.7,509.04,25.22,103.0,42,51
North-East,Male,Prepaid,Light,Low,Monthly,45.27,1202.8,528.11,42.12,89.0,53,65
East,Male,Prepaid,Moderate,Medium,Quarterly,75.39,1161.76,280.48,39.26,108.0,9,40
Central,Female,Postpaid,Moderate,Medium,Quarterly,75.03,554.81,465.91,30.65,124.0,18,25
North,Other,Postpaid,Heavy,Low,Quarterly,47.13,1123.83,624.49,14.12,90.0,3,22
West,Male,Postpaid,Light,Low,Monthly,45.85,758.13,552.36,22.46,96.0,15,62
North,Male,Postpaid,Moderate,Medium,Yearly,54.11,468.51,313.06,22.48,139.0,28,49
West,Male,Postpaid,Heavy,High,Yearly,36.72,1174.06,671.69,31.92,50.0,20,26
North,Male,Prepaid,Heavy,Medium,Monthly,31.65,1170.49,488.69,29.5,148.0,27,33
North-East,Male,Prepaid,Heavy,Medium,Monthly,59.77,983.15,499.25,9.91,83.0,26,36
Central,Male,Postpaid,Light,Low,Monthly,9.58,780.72,482.28,36.03,77.0,66,73
West,Female,Postpaid,Heavy,High,Quarterly,64.03,595.01,557.04,26.75,150.0,27,77
East,Female,Prepaid,Light,Low,Yearly,48.9,727.0,568.05,35.52,117.0,24,34
North,Male,Postpaid,Light,High,Yearly,42.73,1362.11,521.38,31.48,65.0,29,75
North,Other,Prepaid,Heavy,Medium,Yearly,30.46,1017.66,648.71,36.57,114.0,24,28
West,Other,Postpaid,Moderate,High,Quarterly,37.66,683.03,485.64,22.46,71.0,16,50
East,Other,Prepaid,Light,Medium,Yearly,85.12,994.68,497.8,31.06,140.0,38,42
East,Female,Prepaid,Moderate,Low,Quarterly,40.76,941.32,620.11,10.61,134.0,9,34
North-East,Female,Prepaid,Moderate,Medium,Monthly,39.68,659.3,630.02,23.63,172.0,43,36
North-East,Female,Postpaid,Moderate,Low,Yearly,37.92,1413.15,544.97,41.82,132.0,50,48
North-East,Female,Prepaid,Heavy,High,Quarterly,36.69,935.09,545.71,31.24,69.0,65,23
North-East,Male,Prepaid,Light,Low,Quarterly,43.45,713.2,453.53,41.17,134.0,49,20
North-East,Male,Prepaid,Moderate,Low,Monthly,44.54,1157.65,431.21,21.6,88.0,11,49
North-East,Other,Prepaid,Moderate,High,Monthly,49.6,1250.59,512.08,13.83,62.0,29,54
Central,Other,Postpaid,Heavy,Medium,Quarterly,38.0,1037.25,428.3,49.81,51.0,69,69
East,Male,Postpaid,Light,High,Monthly,51.85,760.05,577.01,29.25,67.0,39,56
North-East,Other,Prepaid,Heavy,Medium,Yearly,44.56,1401.27,400.58,19.26,100.0,69,62
East,Female,Postpaid,Moderate,High,Monthly,66.28,1169.19,413.0,33.19,74.0,15,26
East,Other,Prepaid,Light,Medium,Monthly,62.43,1034.54,649.42,33.35,141.0,59,42
South,Female,Postpaid,Heavy,Low,Quarterly,53.8,800.13,499.76,22.56,112.0,19,24
Central,Other,Postpaid,Moderate,Low,Monthly,56.7,822.09,533.0,38.43,102.0,21,19
North-East,Female,Postpaid,Light,High,Yearly,86.33,969.25,439.22,14.64,101.0,4,48
North,Other,Prepaid,Light,Medium,Quarterly,29.8,1734.77,392.04,35.85,62.0,31,24
West,Female,Postpaid,Moderate,High,Quarterly,60.85,1083.09,520.67,25.07,84.0,62,23
North,Male,Postpaid,Heavy,High,Quarterly,55.51,1153.09,487.3,27.94,99.0,21,58
Central,Male,Prepaid,Light,High,Quarterly,60.91,688.52,471.76,61.5,56.0,43,19
West,Female,Prepaid,Moderate,High,Quarterly,45.36,1134.68,530.95,40.76,84.0,35,66
Central,Male,Postpaid,Light,Medium,Yearly,64.4,1178.41,379.75,37.6,81.0,3,77
East,Other,Prepaid,Moderate,Medium,Yearly,37.72,701.75,410.06,14.42,87.0,25,20
West,Male,Postpaid,Light,Low,Yearly,81.9,930.43,307.8,18.04,177.0,29,40
East,Female,Prepaid,Light,Medium,Quarterly,54.88,926.3,475.69,41.45,88.0,14,64
North,Male,Prepaid,Light,Low,Monthly,31.7,1531.53,413.28,28.7,53.0,57,26
North,Other,Postpaid,Light,Medium,Monthly,45.33,919.0,381.69,43.35,124.0,64,33
West,Female,Prepaid,Light,Low,Quarterly,46.8,794.54,369.14,28.75,115.0,40,65
West,Male,Postpaid,Light,High,Quarterly,60.21,1025.06,638.38,28.45,119.0,36,50
North-East,Male,Prepaid,Moderate,Low,Monthly,54.75,1013.52,404.34,13.78,55.0,40,40
Central,Male,Prepaid,Heavy,Low,Quarterly,55.71,478.73,473.58,32.95,116.0,55,37
North-East,Other,Prepaid,Light,Low,Monthly,51.7,1353.13,380.79,33.05,112.0,2,41
Central,Male,Postpaid,Light,Medium,Monthly,76.98,988.31,465.88,17.03,99.0,9,25
North-East,Other,Postpaid,Moderate,Medium,Monthly,44.76,858.89,456.47,23.14,91.0,45,41
East,Female,Postpaid,Light,High,Quarterly,41.41,724.4,426.7,10.04,122.0,35,73
West,Other,Prepaid,Light,Medium,Monthly,72.77,978.34,513.16,17.86,91.0,16,37
North,Male,Prepaid,Moderate,Medium,Yearly,93.24,1291.71,575.93,23.66,110.0,51,30
Central,Female,Postpaid,Light,Medium,Monthly,47.19,1429.6,495.65,27.9,41.0,63,79
Central,Male,Prepaid,Light,Low,Quarterly,64.81,928.81,523.11,32.84,59.0,44,38
North,Male,Postpaid,Moderate,Low,Monthly,58.94,889.96,542.66,29.09,81.0,26,68
North-East,Other,Postpaid,Light,High,Quarterly,26.9,739.87,566.01,40.56,69.0,24,61
Central,Male,Prepaid,Moderate,High,Monthly,49.24,1148.77,364.85,47.48,129.0,20,25
East,Other,Prepaid,Light,Low,Quarterly,50.09,657.92,463.74,37.32,121.0,34,62
West,Female,Prepaid,Moderate,Low,Yearly,34.22,702.69,521.63,13.7,88.0,40,38
North,Female,Postpaid,Moderate,Medium,Monthly,63.71,850.42,395.02,34.01,148.0,70,44
West,Female,Prepaid,Light,Low,Monthly,63.95,1034.16,506.96,43.9,76.0,54,43
Central,Male,Prepaid,Light,Medium,Quarterly,49.51,798.55,524.8,36.74,113.0,14,58
Central,Other,Postpaid,Light,High,Yearly,66.76,910.56,448.58,38.79,106.0,23,71
North,Male,Postpaid,Heavy,Low,Monthly,41.29,853.77,538.48,42.13,54.0,3,29
East,Male,Postpaid,Heavy,High,Yearly,30.68,1146.58,548.09,5.58,112.0,13,77
South,Other,Postpaid,Moderate,Low,Monthly,43.27,742.83,481.28,18.04,102.0,6,41
North,Male,Postpaid,Moderate,Medium,Quarterly,39.0,624.1,488.14,12.25,30.0,65,70
South,Female,Postpaid,Moderate,Low,Quarterly,44.9,852.64,721.45,43.03,52.0,44,27
North-East,Other,Postpaid,Moderate,Low,Quarterly,62.96,1127.21,282.2,42.53,111.0,15,35
South,Female,Prepaid,Heavy,High,Monthly,34.96,846.62,304.01,29.4,120.0,52,20
East,Male,Postpaid,Heavy,Low,Quarterly,42.22,1057.22,651.81,31.71,79.0,1,21
North-East,Male,Postpaid,Moderate,Low,Quarterly,36.4,1206.06,581.49,17.55,44.0,13,30
South,Female,Postpaid,Light,Medium,Monthly,65.36,729.98,423.43,31.71,70.0,9,27
North-East,Male,Prepaid,Light,High,Monthly,26.08,811.64,594.31,14.69,130.0,30,22
South,Male,Prepaid,Light,Medium,Monthly,51.3,808.62,577.2,42.74,92.0,24,37
East,Other,Postpaid,Light,High,Quarterly,39.48,1807.06,445.81,38.45,133.0,10,71
South,Other,Postpaid,Light,Medium,Quarterly,59.61,929.02,473.67,17.88,67.0,62,36
South,Female,Postpaid,Heavy,Low,Monthly,48.41,957.1,529.27,24.06,32.0,58,59
South,Male,Prepaid,Heavy,Medium,Quarterly,38.63,1338.15,399.08,33.55,87.0,38,24
North,Female,Prepaid,Heavy,High,Quarterly,29.06,1017.36,404.74,35.62,17.0,15,66
North,Male,Postpaid,Moderate,Medium,Monthly,71.96,1227.25,567.7,45.3,81.0,42,25
North,Other,Postpaid,Moderate,High,Monthly,68.72,779.87,632.94,18.41,121.0,44,78
East,Other,Postpaid,Light,Medium,Quarterly,45.06,1443.82,363.18,22.4,109.0,23,76
North-East,Male,Prepaid,Heavy,Medium,Monthly,39.84,794.42,398.44,32.48,110.0,28,50
Central,Other,Postpaid,Heavy,High,Quarterly,41.24,957.64,526.66,32.69,39.0,33,75
South,Other,Prepaid,Moderate,High,Yearly,27.83,1134.54,329.81,30.05,75.0,3,33
South,Male,Postpaid,Moderate,Low,Monthly,59.29,1557.88,533.53,30.64,83.0,69,70
East,Other,Prepaid,Moderate,Low,Quarterly,83.74,883.01,537.1,22.48,87.0,22,52
South,Male,Prepaid,Moderate,High,Yearly,27.09,1248.61,683.73,13.39,106.0,70,62
North,Female,Postpaid,Moderate,Medium,Yearly,61.53,844.87,709.14,46.59,125.0,51,56
Central,Male,Prepaid,Light,Low,Yearly,45.59,700.48,508.78,33.13,88.0,65,60
West,Female,Prepaid,Moderate,High,Monthly,36.45,821.04,470.94,17.6,102.0,17,46
South,Male,Prepaid,Light,Medium,Yearly,60.18,1112.05,443.36,44.72,105.0,27,25
North,Male,Prepaid,Moderate,High,Quarterly,52.89,728.9,342.07,43.75,72.0,24,50
West,Male,Postpaid,Light,Low,Monthly,30.42,884.99,518.82,54.6,100.0,71,52
Central,Male,Prepaid,Moderate,Low,Monthly,68.17,668.98,370.45,40.85,104.0,35,26
West,Male,Postpaid,Heavy,Low,Yearly,91.64,882.84,484.32,43.15,63.0,35,56
North,Female,Prepaid,Moderate,Low,Quarterly,80.47,1156.78,618.75,29.77,111.0,50,30
North-East,Other,Prepaid,Light,Low,Yearly,68.41,892.86,390.01,25.66,136.0,21,59
North-East,Male,Postpaid,Moderate,Low,Yearly,48.87,1314.36,480.27,7.06,112.0,52,40
West,Female,Postpaid,Light,Medium,Quarterly,33.63,1119.66,487.99,11.89,82.0,49,53
East,Female,Prepaid,Light,Low,Yearly,70.01,561.17,607.8,28.88,109.0,41,55
West,Male,Prepaid,Moderate,High,Monthly,35.81,959.31,401.45,26.74,74.0,7,66
South,Male,Prepaid,Moderate,High,Quarterly,36.38,1343.89,449.15,43.33,90.0,45,78
South,Male,Prepaid,Moderate,High,Monthly,43.85,784.53,491.88,16.37,112.0,35,38
North-East,Female,Postpaid,Heavy,High,Yearly,80.14,671.6,589.61,25.16,151.0,39,41
East,Male,Postpaid,Moderate,Medium,Monthly,68.36,1073.92,529.89,33.4,98.0,70,30
North,Male,Prepaid,Heavy,Low,Yearly,51.32,1560.61,455.07,36.28,144.0,57,76
South,Other,Postpaid,Light,Low,Monthly,65.97,421.0,490.91,32.22,71.0,61,49
North-East,Female,Prepaid,Light,Low,Yearly,27.24,408.42,411.69,14.2,153.0,25,70
Central,Male,Postpaid,Heavy,Low,Quarterly,38.63,680.78,579.0,21.64,102.0,67,33
North-East,Female,Prepaid,Light,Low,Quarterly,32.53,1104.22,476.44,45.62,79.0,60,33
South,Male,Postpaid,Moderate,Medium,Quarterly,54.63,776.4,631.17,14.03,156.0,20,76
South,Male,Postpaid,Moderate,Medium,Monthly,28.82,1252.77,519.74,43.56,48.0,60,53
North-East,Female,Postpaid,Light,Medium,Monthly,55.73,803.72,526.96,37.66,91.0,66,51
North,Female,Prepaid,Heavy,High,Yearly,29.72,895.14,532.18,36.34,122.0,19,23
West,Female,Prepaid,Heavy,High,Yearly,39.67,1464.89,643.41,21.03,124.0,4,60
South,Female,Prepaid,Moderate,Low,Quarterly,77.04,1425.48,406.5,42.86,95.0,1,25
North-East,Other,Prepaid,Moderate,High,Quarterly,65.67,745.7,434.36,24.95,103.0,66,20
North-East,Female,Postpaid,Light,High,Monthly,43.08,690.41,364.07,30.41,111.0,5,71
East,Male,Prepaid,Moderate,High,Quarterly,26.47,1306.45,379.77,42.78,75.0,2,25
West,Male,Postpaid,Light,Medium,Quarterly,44.12,863.9,524.5,44.05,124.0,6,57
Central,Female,Prepaid,Light,Low,Quarterly,58.37,1272.71,521.47,31.4,73.0,4,66
North,Female,Postpaid,Moderate,High,Monthly,28.38,1417.82,458.63,3.22,91.0,11,38
Central,Female,Postpaid,Light,Low,Monthly,51.64,845.66,446.8,35.96,113.0,4,50
West,Female,Prepaid,Heavy,Medium,Quarterly,63.87,828.91,682.98,12.48,83.0,34,25
West,Female,Postpaid,Heavy,Medium,Yearly,36.41,894.28,517.23,20.94,114.0,66,59
West,Male,Postpaid,Light,Medium,Yearly,41.92,1345.57,603.26,41.84,86.0,16,41
Central,Other,Prepaid,Moderate,Low,Quarterly,50.46,698.9,541.02,51.45,127.0,54,25
West,Female,Postpaid,Light,Medium,Monthly,48.3,1003.38,593.14,33.54,87.0,39,43
North-East,Female,Prepaid,Heavy,High,Monthly,52.41,932.41,568.21,30.81,102.0,62,55
Central,Female,Prepaid,Light,Medium,Yearly,58.99,862.34,615.27,30.1,79.0,40,56
West,Female,Postpaid,Moderate,Low,Yearly,36.07,1268.74,385.73,19.78,134.0,57,79
North-East,Other,Postpaid,Heavy,Medium,Monthly,63.33,1530.22,438.67,46.37,95.0,64,25
East,Other,Postpaid,Light,Low,Quarterly,48.44,552.59,644.01,27.45,65.0,49,69
West,Male,Prepaid,Heavy,Medium,Quarterly,52.25,28.06,406.33,13.94,142.0,59,72
Central,Female,Postpaid,Heavy,Low,Yearly,36.39,573.01,420.32,47.85,145.0,9,57
South,Female,Postpaid,Moderate,High,Yearly,65.45,675.66,678.35,41.2,39.0,38,45
West,Male,Prepaid,Moderate,High,Quarterly,45.72,1619.52,594.33,25.0,127.0,63,22
South,Male,Postpaid,Light,High,Monthly,60.19,1115.01,602.99,12.29,106.0,70,74
North-East,Female,Prepaid,Heavy,Medium,Quarterly,37.69,1173.74,365.87,18.16,86.0,10,20
East,Other,Prepaid,Moderate,High,Quarterly,41.0,1440.64,508.87,32.96,96.0,36,71
North,Male,Postpaid,Heavy,High,Quarterly,44.46,1183.94,396.76,5.82,37.0,6,69
East,Female,Prepaid,Moderate,Low,Quarterly,41.78,1401.45,601.96,39.96,65.0,3,75
West,Female,Postpaid,Moderate,High,Quarterly,55.15,1010.03,438.87,26.98,101.0,55,36
South,Female,Prepaid,Heavy,Low,Quarterly,40.47,932.87,614.29,22.68,100.0,58,49
South,Male,Postpaid,Moderate,Medium,Yearly,10.46,779.34,497.29,21.25,91.0,56,28
Central,Male,Postpaid,Heavy,Medium,Quarterly,32.72,844.99,619.46,35.78,101.0,59,41
South,Male,Prepaid,Heavy,Low,Quarterly,14.98,1305.27,592.92,23.16,147.0,21,75
Central,Female,Postpaid,Light,Low,Yearly,51.42,1201.34,394.24,19.19,99.0,38,54
North-East,Male,Postpaid,Heavy,High,Quarterly,71.01,1015.55,529.54,25.09,68.0,51,61
North,Female,Postpaid,Heavy,Medium,Quarterly,60.17,879.32,513.39,46.96,84.0,24,21
West,Other,Prepaid,Moderate,Medium,Quarterly,49.24,616.38,397.58,16.26,57.0,53,78
Central,Other,Prepaid,Heavy,Medium,Monthly,48.3,588.4,668.64,16.27,102.0,45,65
North,Other,Postpaid,Heavy,Low,Quarterly,49.79,1211.74,469.68,25.95,111.0,64,76
South,Male,Prepaid,Light,Medium,Quarterly,66.35,1135.98,463.34,41.7,100.0,19,26
South,Female,Postpaid,Moderate,High,Monthly,34.67,326.98,320.56,32.28,105.0,23,41
North,Male,Prepaid,Moderate,High,Yearly,44.69,839.63,296.12,22.62,25.0,10,18
South,Other,Prepaid,Moderate,Medium,Quarterly,49.12,1113.48,401.92,33.96,100.0,5,41
North-East,Female,Prepaid,Heavy,Low,Monthly,55.16,590.3,591.05,39.59,70.0,5,69
North-East,Other,Prepaid,Moderate,Medium,Quarterly,65.6,693.02,851.95,37.4,126.0,41,70
North,Female,Prepaid,Light,Medium,Monthly,38.94,1109.6,551.53,30.8,89.0,66,67
Central,Male,Postpaid,Moderate,Medium,Quarterly,53.05,964.29,607.36,18.9,121.0,32,70
Central,Female,Prepaid,Heavy,Low,Quarterly,83.85,900.71,371.6,33.23,92.0,70,59
North,Other,Prepaid,Moderate,Low,Monthly,59.99,1630.49,471.41,7.65,90.0,18,73
Central,Female,Postpaid,Heavy,High,Yearly,44.47,1108.49,479.52,22.26,132.0,2,72
Central,Female,Prepaid,Heavy,Medium,Yearly,39.14,861.72,688.0,17.58,71.0,28,78
North-East,Other,Postpaid,Moderate,High,Yearly,89.99,590.71,583.61,32.51,32.0,25,76
Central,Other,Postpaid,Heavy,High,Monthly,27.13,994.22,330.94,24.77,134.0,19,72
East,Other,Prepaid,Light,High,Yearly,53.5,856.8,478.57,16.69,100.0,17,29
West,Other,Prepaid,Moderate,High,Monthly,59.63,1300.03,513.4,19.16,76.0,2,27
South,Female,Postpaid,Moderate,Low,Quarterly,40.94,1034.55,595.44,15.74,34.0,63,22
East,Female,Prepaid,Moderate,Medium,Monthly,67.78,895.35,505.7,15.69,81.0,27,68
Central,Other,Postpaid,Heavy,Medium,Monthly,48.54,797.3,570.07,23.98,89.0,5,63
North-East,Female,Postpaid,Heavy,High,Yearly,39.03,1564.71,468.94,12.85,127.0,15,50
North,Other,Postpaid,Moderate,Low,Yearly,29.23,1087.74,501.37,9.59,129.0,21,55
Central,Female,Prepaid,Heavy,Medium,Monthly,43.39,974.2,655.63,35.96,109.0,10,53
North-East,Male,Postpaid,Heavy,Medium,Yearly,13.33,1183.74,453.82,43.39,122.0,53,71
West,Female,Prepaid,Light,High,Yearly,55.4,667.26,593.3,38.59,127.0,4,66
Central,Other,Postpaid,Heavy,Medium,Yearly,60.47,630.81,446.26,29.52,114.0,16,44
North,Male,Postpaid,Heavy,Medium,Yearly,52.03,976.45,461.45,43.85,124.0,18,29
North-East,Male,Postpaid,Light,Low,Yearly,67.0,470.13,621.6,26.46,98.0,14,25
North-East,Other,Postpaid,Heavy,High,Quarterly,66.03,1306.47,514.58,35.17,144.0,11,38
North-East,Other,Postpaid,Moderate,High,Monthly,55.11,1142.75,483.51,28.43,145.0,8,74
West,Female,Prepaid,Light,Medium,Monthly,57.33,855.03,583.67,25.71,101.0,10,75
Central,Female,Prepaid,Moderate,Low,Monthly,62.26,921.29,553.45,28.38,95.0,10,74
West,Male,Prepaid,Heavy,Medium,Monthly,45.73,785.22,570.72,16.83,46.0,55,57
South,Female,Prepaid,Light,High,Yearly,17.24,750.09,507.92,42.63,92.0,56,59
South,Female,Prepaid,Heavy,Medium,Monthly,42.74,474.47,655.67,28.73,143.0,30,55
Central,Female,Prepaid,Light,Medium,Monthly,72.97,1712.23,621.68,5.76,84.0,25,35
West,Male,Postpaid,Heavy,High,Quarterly,51.09,1232.12,636.32,49.05,107.0,3,51
North,Female,Postpaid,Light,Low,Quarterly,70.12,773.41,617.13,44.15,119.0,41,47
North-East,Female,Prepaid,Moderate,Low,Monthly,61.73,950.98,277.23,5.02,168.0,22,42
North-East,Other,Prepaid,Moderate,High,Yearly,57.25,717.39,521.51,30.95,77.0,26,52
Central,Male,Prepaid,Heavy,High,Yearly,22.9,799.74,658.79,17.85,61.0,59,24
South,Other,Prepaid,Light,Medium,Monthly,68.39,681.19,528.72,29.61,116.0,39,74
South,Male,Prepaid,Light,High,Monthly,38.94,876.59,531.16,52.26,111.0,17,41
North-East,Other,Prepaid,Moderate,High,Monthly,30.4,966.33,531.6,43.36,78.0,64,29
Central,Other,Prepaid,Light,Medium,Monthly,47.04,612.56,406.54,26.97,58.0,35,73
West,Other,Prepaid,Heavy,Medium,Monthly,34.78,608.86,555.22,27.97,40.0,9,46
South,Other,Prepaid,Light,Low,Monthly,60.71,764.57,423.51,35.48,44.0,29,27
West,Female,Postpaid,Light,Low,Yearly,40.06,923.32,534.27,27.54,109.0,35,29
South,Female,Postpaid,Heavy,Low,Monthly,50.05,1217.27,516.82,23.79,61.0,58,50
South,Female,Prepaid,Moderate,Low,Quarterly,76.35,1089.49,476.63,17.7,84.0,44,68
East,Other,Prepaid,Heavy,High,Quarterly,78.4,1083.91,542.15,24.4,95.0,22,40
South,Male,Prepaid,Light,Low,Quarterly,56.22,694.95,403.38,36.68,76.0,22,58
North,Male,Prepaid,Heavy,High,Yearly,29.22,1094.82,605.51,32.5,110.0,3,77
Central,Other,Prepaid,Heavy,Low,Yearly,49.2,236.0,523.06,25.04,86.0,48,40
Central,Other,Prepaid,Heavy,Medium,Monthly,38.77,1024.59,496.5,36.46,66.0,32,70
West,Female,Postpaid,Heavy,High,Quarterly,38.82,803.79,465.7,24.27,101.0,33,63
South,Other,Prepaid,Heavy,High,Quarterly,53.39,1047.99,355.95,34.22,104.0,8,42
North,Female,Postpaid,Moderate,Medium,Monthly,50.47,991.12,544.79,28.13,144.0,29,71
West,Female,Postpaid,Moderate,Medium,Monthly,48.69,1293.37,550.52,20.51,71.0,54,70
East,Other,Prepaid,Heavy,Low,Yearly,46.77,783.41,541.36,32.01,100.0,62,77
West,Male,Postpaid,Moderate,High,Yearly,47.38,734.81,368.95,34.68,94.0,22,77
West,Male,Prepaid,Heavy,Medium,Quarterly,42.1,785.95,543.1,37.41,114.0,71,29
South,Other,Prepaid,Moderate,High,Monthly,52.96,988.95,616.35,19.61,103.0,8,57
East,Female,Prepaid,Moderate,Low,Monthly,66.46,824.29,515.51,24.3,79.0,31,29
West,Female,Postpaid,Moderate,Low,Quarterly,79.0,744.16,597.07,27.84,76.0,69,25
North,Male,Prepaid,Light,Low,Quarterly,63.34,653.81,523.99,19.9,76.0,60,56
North,Female,Prepaid,Moderate,Medium,Yearly,49.81,1009.28,566.86,29.03,69.0,33,74
Central,Male,Prepaid,Moderate,High,Monthly,69.31,849.83,475.43,28.22,130.0,11,71
East,Other,Postpaid,Light,Medium,Yearly,38.15,1335.17,573.71,16.45,79.0,7,20
East,Other,Prepaid,Moderate,Low,Yearly,46.81,804.75,526.11,32.52,67.0,32,46
Central,Female,Prepaid,Light,High,Yearly,67.38,768.29,434.4,22.22,133.0,23,53
West,Other,Prepaid,Heavy,Low,Yearly,30.54,346.56,617.97,52.97,87.0,32,71
East,Other,Prepaid,Heavy,Low,Yearly,41.65,538.91,565.74,29.16,121.0,16,39
North,Female,Prepaid,Heavy,Medium,Yearly,58.68,444.23,308.42,33.51,79.0,34,49
North,Female,Prepaid,Heavy,High,Quarterly,42.81,1083.16,649.7,43.16,132.0,53,48
South,Male,Postpaid,Light,Medium,Yearly,47.8,607.27,595.99,38.78,109.0,30,38
East,Other,Postpaid,Light,High,Quarterly,22.23,954.71,529.0,31.29,115.0,19,18
West,Other,Prepaid,Light,High,Monthly,46.26,1441.58,555.86,17.21,85.0,33,51
Central,Female,Postpaid,Light,High,Monthly,29.57,971.64,610.64,33.26,102.0,8,57
Central,Other,Postpaid,Heavy,High,Quarterly,30.21,978.62,574.67,31.85,150.0,15,22
West,Male,Postpaid,Heavy,High,Quarterly,35.93,1098.41,374.62,43.68,116.0,55,79
North-East,Male,Postpaid,Heavy,Low,Monthly,59.16,772.58,574.21,23.05,87.0,9,27
South,Female,Prepaid,Heavy,Low,Monthly,33.27,1081.22,510.13,40.89,100.0,17,35
Central,Other,Prepaid,Moderate,Medium,Quarterly,25.8,918.44,596.08,42.31,125.0,61,56
East,Male,Postpaid,Moderate,High,Yearly,38.01,1321.66,577.71,24.82,136.0,1,69
South,Other,Prepaid,Light,Medium,Yearly,51.0,842.46,502.59,43.58,116.0,11,75
East,Female,Postpaid,Moderate,Low,Quarterly,63.01,928.51,526.12,20.9,150.0,21,25
North,Female,Postpaid,Heavy,Medium,Quarterly,31.77,1150.24,572.09,31.23,113.0,21,53
South,Other,Prepaid,Heavy,Medium,Yearly,77.12,1332.47,465.42,45.63,86.0,59,44
Central,Male,Prepaid,Heavy,Low,Quarterly,72.59,1497.86,305.8,20.63,119.0,41,19
South,Female,Postpaid,Light,Low,Yearly,28.82,969.48,546.96,30.15,144.0,59,38
South,Other,Postpaid,Heavy,Low,Monthly,23.61,1280.59,317.53,37.51,56.0,12,74
South,Other,Prepaid,Light,High,Monthly,45.33,1302.5,428.69,46.52,103.0,16,77
North-East,Male,Postpaid,Light,Low,Monthly,27.86,1021.53,518.37,39.64,111.0,71,45
South,Female,Prepaid,Light,Low,Monthly,50.19,1027.55,307.38,18.65,93.0,19,40
East,Other,Postpaid,Heavy,Medium,Quarterly,20.89,1186.47,549.88,30.89,96.0,9,67
North,Female,Postpaid,Light,Medium,Quarterly,26.13,1163.4,549.14,27.99,100.0,6,74
West,Female,Prepaid,Light,Low,Yearly,37.98,1579.34,415.94,26.63,54.0,16,33
South,Female,Prepaid,Light,Low,Yearly,64.57,1183.54,482.64,29.98,151.0,64,62
Central,Other,Postpaid,Moderate,High,Monthly,39.92,339.8,406.43,13.91,38.0,57,29
South,Other,Prepaid,Moderate,Low,Yearly,28.16,1023.1,509.49,39.76,75.0,56,73
Central,Male,Postpaid,Moderate,Low,Quarterly,47.84,1096.69,504.43,31.01,112.0,29,24
East,Male,Postpaid,Moderate,High,Monthly,35.68,265.6,513.91,18.94,99.0,64,74
